Zone,Desired,Actual,Difference
"MGH",37.62376237623762, 29.654705484089373, 7.969056892148252
"EMPH",12.871287128712872, 17.129316181448885, 4.258029052736012
"EMPH,PP",10.891089108910892, 0, 10.891089108910892
"BB,EMPH,MGH",9.900990099009901, 9.88490182802979, 0.016088270980110786
"EMPH,MGH,nPPnBB",8.91089108910891, 8.733920108327691, 0.17697098078121865
"EMPH,nPPnBB",6.9306930693069315, 7.921462423832091, 0.9907693545251604
"BB,MGH",3.9603960396039604, 2.7081922816519977, 1.252203757951963
"BB,EMPH",2.9702970297029703, 4.129993229519296, 1.1596961998163255
"EMPH,MGH",2.9702970297029703, 4.197698036560596, 1.2274010068576258
"EMPH,MGH,PP",2.9702970297029703, 9.343263371699392, 6.37296634199642
"BB",0, 1.0155721056194988, 1.0155721056194988
"MGH,PP",0, 5.280974949221394, 5.280974949221394
Total:,,,40.61081802154487
